player_name,player_id,season_id,pts,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,ast,stl,tov,blk,fantasy_pts
Dario Saric,203967,2018-19,13.38,31.38,5.04,11.23,1.22,3.27,2.12,2.64,1.08,3.96,2.21,0.71,1.5,0.39,13.51
Rudy Gay,200752,2018-19,13.03,28.62,4.94,10.8,0.62,2.05,2.55,3.18,1.29,4.21,1.54,0.78,1.43,0.5,13.43
JaMychal Green,203210,2018-19,10.65,27.52,4.12,9.04,0.59,1.64,1.87,2.39,1.84,4.9,1.54,0.72,1.28,0.5,13.43
Taj Gibson,201959,2018-19,9.4,28.98,4.02,8.39,0.04,0.14,1.3,1.95,2.06,4.87,1.52,0.83,1.19,0.92,13.38
Jaylen Brown,1627759,2018-19,14.12,30.61,5.18,12.02,1.61,4.35,2.17,2.78,0.89,3.7,2.16,0.88,1.36,0.43,13.36
DeMarre Carroll,201960,2018-19,12.62,30.37,4.57,10.19,1.27,3.42,2.21,2.74,1.11,3.92,1.82,0.9,1.41,0.54,13.36
Courtney Lee,201584,2018-19,13.29,30.65,4.9,10.27,1.52,3.84,2.02,2.51,0.54,2.44,2.8,1.1,1.26,0.26,13.3
Tobias Harris,202699,2018-19,14.42,29.97,5.37,12.2,1.72,4.31,2.0,2.57,0.68,3.38,2.5,0.84,1.39,0.25,13.29
Tim Hardaway Jr.,203501,2018-19,14.81,31.26,5.4,12.4,1.95,4.8,2.08,2.64,0.54,3.11,2.74,0.96,1.62,0.25,13.23
John Henson,203089,2018-19,7.99,25.51,3.36,6.33,0.0,0.04,1.26,2.23,2.55,4.83,0.94,0.68,1.18,1.36,13.22
Ricky Rubio,201937,2018-19,12.04,28.68,4.27,9.62,1.18,3.2,2.37,2.83,0.43,2.57,4.87,1.09,2.2,0.2,13.19
JJ Redick,200755,2018-19,15.37,30.79,5.6,12.4,1.81,4.48,2.35,2.74,0.43,2.44,2.55,0.83,1.48,0.18,13.14
Carmelo Anthony,2546,2018-19,13.61,30.07,5.09,11.39,1.62,4.33,1.79,2.29,0.77,3.86,1.89,0.7,1.27,0.32,13.08
Spencer Dinwiddie,203915,2018-19,13.15,29.71,4.53,11.0,1.4,3.77,2.68,3.21,0.54,2.37,4.61,1.1,1.89,0.18,13.07
Bobby Portis,1626171,2018-19,11.96,25.19,4.62,10.47,0.95,2.74,1.76,2.3,1.84,4.22,1.44,0.66,1.33,0.4,12.81
Caris LeVert,1627747,2018-19,11.69,29.29,4.34,9.59,1.0,2.58,2.01,2.5,0.52,2.67,3.97,1.16,1.77,0.27,12.77
Evan Fournier,203095,2018-19,14.7,29.7,5.31,12.44,1.93,4.99,2.18,2.72,0.51,2.9,2.9,0.8,1.64,0.25,12.75
Serge Ibaka,201586,2018-19,11.1,26.05,4.24,9.52,1.3,3.52,1.35,1.7,1.04,4.42,1.17,0.57,1.01,1.02,12.67
Jonathon Simmons,203613,2018-19,14.97,31.97,5.57,12.76,1.11,3.16,2.75,3.37,0.6,2.72,2.88,0.89,1.85,0.24,12.64
Larry Nance Jr.,1626204,2018-19,8.71,24.0,3.56,6.76,0.08,0.3,1.49,2.25,2.09,4.07,1.1,0.89,0.96,0.67,12.61
Stanley Johnson,1626169,2018-19,11.47,31.28,4.43,10.1,1.27,3.46,1.4,2.0,0.91,3.51,2.89,1.15,1.41,0.32,12.56
Rajon Rondo,200765,2018-19,7.82,26.52,3.0,6.86,0.73,2.0,1.1,1.35,0.53,2.5,6.69,0.97,1.98,0.1,12.52
Alex Len,203458,2018-19,8.35,23.28,3.2,6.22,0.0,0.03,1.94,2.96,2.46,4.41,0.74,0.54,1.24,1.29,12.52
James Johnson,201949,2018-19,10.52,28.15,4.11,8.84,0.61,1.79,1.69,2.19,1.07,3.54,2.65,0.94,1.45,0.48,12.49
Wilson Chandler,201163,2018-19,11.46,29.17,4.3,9.52,1.06,2.95,1.85,2.28,1.18,3.81,1.59,0.8,1.15,0.45,12.48
Kelly Olynyk,203482,2018-19,12.07,27.3,4.52,10.13,1.17,3.22,1.9,2.39,1.31,3.67,1.75,0.81,1.44,0.35,12.44
Kentavious Caldwell-Pope,203484,2018-19,12.16,30.37,4.42,10.43,1.57,4.25,1.74,2.25,0.72,3.31,2.48,1.4,1.45,0.31,12.4
Markieff Morris,202693,2018-19,11.56,29.24,4.35,9.8,0.88,2.57,1.98,2.52,1.28,3.66,1.94,0.73,1.28,0.4,12.3
Michael Beasley,201563,2018-19,12.23,26.48,4.78,10.64,0.46,1.49,2.17,2.83,1.28,3.81,1.55,0.83,1.54,0.55,12.21
Will Barton,203115,2018-19,12.81,30.47,4.78,11.2,1.51,4.15,1.82,2.3,0.57,3.0,3.35,0.86,1.69,0.2,12.2
Kelly Oubre Jr.,1626162,2018-19,11.8,27.63,4.14,9.66,1.46,4.11,1.96,2.51,0.84,3.57,1.82,0.93,1.2,0.46,12.15
Austin Rivers,203085,2018-19,13.69,31.23,4.97,11.73,1.84,5.02,1.89,2.34,0.46,2.25,3.35,0.92,1.55,0.25,12.14
Al-Farouq Aminu,202329,2018-19,9.78,27.98,3.57,8.19,1.41,3.88,1.24,1.68,1.1,4.29,1.75,0.95,1.14,0.45,12.12
Darren Collison,201954,2018-19,11.29,29.44,4.32,9.7,0.97,2.62,1.71,2.13,0.43,1.97,4.36,1.14,1.47,0.17,12.09
Avery Bradley,202340,2018-19,14.43,30.66,5.48,12.64,1.7,4.62,1.71,2.19,0.62,2.68,2.3,1.06,1.54,0.18,12.09
E'Twaun Moore,202734,2018-19,12.17,28.59,4.45,9.7,1.36,3.56,1.94,2.44,0.53,2.23,2.76,1.15,1.22,0.18,12.05
Reggie Jackson,202704,2018-19,13.24,28.16,4.99,11.61,1.25,3.44,2.03,2.45,0.49,2.19,4.21,0.66,1.98,0.11,11.87
Rodney Hood,203918,2018-19,14.53,27.57,5.25,12.0,1.92,5.11,2.1,2.45,0.51,2.08,2.09,0.87,1.36,0.15,11.78
Joe Ingles,204060,2018-19,10.19,29.71,3.68,8.64,1.49,3.91,1.31,1.63,0.42,2.53,4.33,0.98,1.71,0.23,11.68
Josh Richardson,1626196,2018-19,11.58,27.88,4.36,9.78,1.18,3.14,1.64,2.13,0.61,2.66,2.58,1.03,1.15,0.27,11.67
Tyson Chandler,2199,2018-19,6.76,23.32,2.7,5.19,0.0,0.02,1.36,2.02,2.36,4.83,0.72,0.56,0.99,0.57,11.66
Nicolas Batum,201587,2018-19,10.82,26.99,4.02,9.06,1.09,2.97,1.68,2.13,0.5,2.34,3.62,1.02,1.43,0.28,11.65
Marcin Gortat,101162,2018-19,8.02,24.03,3.27,6.23,0.0,0.07,1.42,2.08,2.2,3.99,0.7,0.51,0.99,0.8,11.63
J.J. Barea,200826,2018-19,10.76,27.21,4.08,9.7,1.51,3.97,1.09,1.41,0.33,2.25,5.15,0.71,1.77,0.06,11.56
Justin Holiday,203200,2018-19,11.77,31.31,4.13,10.16,1.67,4.69,1.88,2.38,0.57,3.11,2.47,1.31,1.45,0.29,11.53
Trevor Ariza,2772,2018-19,11.76,31.64,4.07,10.2,2.36,6.43,1.22,1.51,0.43,3.26,2.15,1.21,1.08,0.22,11.53
Terry Rozier,1626179,2018-19,11.51,29.3,4.27,9.79,1.32,3.49,1.65,2.07,0.64,3.11,2.24,0.99,1.25,0.22,11.53
Kyle O'Quinn,203124,2018-19,7.23,22.08,2.98,6.12,0.03,0.15,1.23,1.79,1.83,4.35,1.2,0.59,1.27,1.29,11.51
Buddy Hield,1627741,2018-19,12.29,30.44,4.54,10.81,1.56,4.38,1.61,1.97,0.69,2.77,2.21,1.25,1.38,0.27,11.47
Jamal Murray,1627750,2018-19,12.73,29.73,4.7,10.79,1.56,4.05,1.75,2.19,0.57,2.68,2.52,0.86,1.54,0.19,11.47
D'Angelo Russell,1626156,2018-19,12.65,27.63,4.66,11.14,1.45,4.05,1.9,2.26,0.45,2.46,3.63,0.87,2.01,0.2,11.4
Wesley Matthews,202083,2018-19,11.87,31.44,4.27,10.2,1.8,4.91,1.52,1.91,0.53,2.72,2.45,1.07,1.23,0.26,11.35
Robin Lopez,201577,2018-19,8.43,23.03,3.64,7.54,0.08,0.3,1.07,1.48,1.79,3.86,1.19,0.54,1.12,0.95,11.33
Andre Iguodala,2738,2018-19,8.1,26.66,3.08,6.72,0.76,2.31,1.18,1.6,0.71,3.16,3.28,0.86,1.2,0.48,11.32
Dewayne Dedmon,203473,2018-19,8.47,24.68,3.22,6.96,0.89,2.44,1.22,1.56,1.24,3.88,1.43,0.69,0.94,0.58,11.27
Dion Waiters,203079,2018-19,13.53,29.54,4.92,11.82,1.72,4.72,1.94,2.38,0.39,2.21,3.04,0.87,1.68,0.19,11.22
Zach LaVine,203897,2018-19,13.02,28.17,4.75,11.19,1.34,3.82,2.15,2.64,0.52,2.46,2.44,0.81,1.42,0.27,11.17
Dwight Powell,203939,2018-19,8.92,25.22,3.52,7.7,0.37,1.19,1.52,2.17,1.77,3.83,1.31,0.86,1.25,0.54,11.15
Trey Burke,203504,2018-19,11.49,25.35,4.35,9.98,0.91,2.58,1.89,2.22,0.39,1.87,4.18,0.69,1.61,0.11,11.14
Jordan Clarkson,203903,2018-19,13.16,26.89,5.03,11.78,1.26,3.74,1.83,2.27,0.55,1.91,3.28,0.78,1.63,0.12,10.99
Bojan Bogdanovic,202711,2018-19,12.52,28.14,4.57,10.36,1.58,4.29,1.79,2.16,0.45,2.6,1.94,0.74,1.3,0.16,10.95
Dirk Nowitzki,1717,2018-19,10.88,25.28,3.96,9.19,1.47,3.95,1.52,1.86,0.62,3.43,1.55,0.65,0.97,0.36,10.94
Andrew Harrison,1626150,2018-19,9.82,26.52,3.7,8.24,0.71,1.99,1.74,2.12,0.38,2.27,3.75,0.99,1.55,0.2,10.91
Troy Williams,1627786,2018-19,9.1,25.15,3.5,7.28,0.89,2.54,1.24,1.68,1.23,2.84,1.5,1.08,1.1,0.44,10.86
Fred VanVleet,1627832,2018-19,11.47,27.24,4.24,9.74,1.41,3.87,1.58,1.83,0.53,2.21,2.56,0.98,1.37,0.19,10.83
Robert Covington,203496,2018-19,9.63,27.48,3.56,8.54,1.41,4.0,1.11,1.53,0.83,3.19,1.94,1.27,1.15,0.42,10.73
Thon Maker,1627748,2018-19,8.78,21.92,3.27,6.97,0.52,1.67,1.75,2.39,1.31,3.23,1.03,0.69,0.83,0.84,10.7
Michael Carter-Williams,203487,2018-19,10.06,24.44,3.61,7.94,0.93,2.59,1.86,2.41,0.6,2.47,2.61,0.86,1.42,0.39,10.68
Kent Bazemore,203145,2018-19,10.47,28.34,3.75,9.06,0.83,2.33,2.15,2.76,0.7,2.4,3.09,1.22,1.66,0.34,10.63
Justise Winslow,1626159,2018-19,10.12,24.02,3.77,8.45,0.97,2.64,1.69,2.2,0.67,2.97,2.17,0.71,1.27,0.42,10.6
Thabo Sefolosha,200757,2018-19,9.35,24.36,3.41,8.05,1.17,3.41,1.35,1.76,0.85,3.18,1.71,1.09,0.99,0.39,10.54
Maurice Harkless,203090,2018-19,8.53,26.07,3.31,7.32,0.9,2.53,1.0,1.37,1.05,3.32,1.61,0.92,0.96,0.44,10.52
Emmanuel Mudiay,1626144,2018-19,10.24,25.42,3.78,8.84,1.08,2.89,1.6,1.96,0.35,2.27,3.7,0.81,1.62,0.13,10.47
Mario Hezonja,1626209,2018-19,9.69,24.27,3.54,7.91,1.18,3.04,1.42,1.76,0.57,2.64,2.31,0.87,1.31,0.27,10.32
Marcus Smart,203935,2018-19,9.34,25.39,3.45,8.25,0.84,2.49,1.55,2.0,0.4,2.07,4.07,1.15,1.74,0.22,10.26
Dwyane Wade,2548,2018-19,9.96,25.5,3.86,8.74,0.6,1.74,1.62,2.02,0.59,2.67,2.65,0.84,1.53,0.31,10.22
Cody Zeller,203469,2018-19,7.5,21.68,2.86,6.0,0.01,0.08,1.79,2.29,1.93,3.5,0.79,0.42,1.13,0.82,10.2
Kyle Anderson,203937,2018-19,8.11,24.84,3.09,7.16,0.29,1.03,1.64,2.31,1.21,3.23,1.96,1.16,1.22,0.48,10.19
Isaiah Thomas,202738,2018-19,11.67,25.78,4.18,9.93,1.24,3.37,2.13,2.63,0.4,1.72,3.74,0.69,1.92,0.1,10.16
Malcolm Brogdon,1627763,2018-19,11.43,27.18,4.33,10.06,1.33,3.62,1.43,1.8,0.46,2.28,2.32,0.83,1.29,0.17,10.1
Mike Muscala,203488,2018-19,9.31,25.48,3.36,8.05,1.28,3.39,1.27,1.66,0.95,3.08,1.57,0.72,0.99,0.51,10.07
Jabari Parker,203953,2018-19,10.65,24.99,4.11,9.47,0.84,2.38,1.56,2.0,0.92,2.48,1.99,0.7,1.2,0.32,10.07
Trey Lyles,1626168,2018-19,8.48,21.35,3.15,7.27,0.78,2.33,1.46,1.84,0.97,3.47,1.58,0.63,1.05,0.44,10.01
Lance Stephenson,202362,2018-19,9.01,25.13,3.58,8.14,0.7,2.12,1.17,1.54,0.78,3.19,2.61,0.64,1.57,0.22,9.96
Taurean Prince,1627752,2018-19,10.83,28.05,4.12,9.92,1.23,3.45,1.37,1.81,0.65,2.63,2.18,0.79,1.26,0.38,9.95
Mason Plumlee,203486,2018-19,7.0,21.98,2.87,5.74,0.0,0.01,1.29,2.04,1.71,3.29,1.1,0.61,1.29,1.14,9.94
Tyler Johnson,204020,2018-19,10.03,24.02,3.65,8.43,1.47,3.84,1.28,1.58,0.44,2.85,1.49,0.79,0.95,0.27,9.83
Patrick Beverley,201976,2018-19,8.96,27.55,3.35,8.27,1.08,3.13,1.17,1.58,0.8,2.5,2.67,1.24,1.33,0.32,9.81
Allen Crabbe,203459,2018-19,10.02,26.28,3.65,8.58,1.4,3.71,1.31,1.61,0.66,2.82,1.6,0.62,1.04,0.32,9.76
Delon Wright,1626153,2018-19,8.59,23.25,3.27,7.28,0.63,1.78,1.41,1.83,0.46,2.56,2.93,0.85,1.51,0.28,9.73
James Ennis III,203516,2018-19,8.7,24.82,3.26,7.38,1.06,3.01,1.11,1.46,0.95,2.74,1.41,0.76,0.86,0.43,9.65
Marco Belinelli,201158,2018-19,10.83,24.0,3.89,9.16,1.38,3.89,1.68,2.01,0.45,2.02,2.01,0.8,1.1,0.15,9.55
Jeff Green,201145,2018-19,9.93,24.59,3.65,8.19,0.7,1.9,1.93,2.37,0.83,2.39,1.55,0.59,1.0,0.19,9.48
Jerami Grant,203924,2018-19,8.47,19.7,3.28,6.69,0.46,1.31,1.48,2.15,1.16,2.92,0.81,0.49,0.87,0.58,9.48
Cory Joseph,202709,2018-19,7.96,24.2,3.08,7.04,0.92,2.6,0.93,1.22,0.51,2.79,2.72,0.71,1.2,0.22,9.45
Shabazz Napier,203894,2018-19,9.38,21.73,3.39,8.17,1.0,3.05,1.61,2.13,0.54,2.33,2.63,0.97,1.34,0.21,9.42
Terrence Ross,203082,2018-19,9.0,27.96,3.24,7.84,1.47,3.96,1.06,1.38,0.51,2.67,1.85,0.91,1.05,0.43,9.4
Skal Labissiere,1627746,2018-19,8.25,19.6,3.27,7.34,0.36,1.11,1.36,1.89,1.29,3.5,0.84,0.42,1.0,0.69,9.37
Nemanja Bjelica,202357,2018-19,8.8,24.31,3.29,7.51,1.29,3.25,0.91,1.23,0.63,2.56,1.6,0.76,0.86,0.39,9.34
Marvin Williams,101107,2018-19,8.08,24.96,2.94,7.0,1.36,3.66,0.88,1.13,0.66,3.26,1.2,0.74,0.77,0.44,9.31
David Nwaba,1628021,2018-19,7.91,23.69,2.88,6.42,0.21,0.7,1.98,2.76,1.32,2.96,1.35,0.79,1.14,0.38,9.24
Kosta Koufos,201585,2018-19,5.57,17.84,2.41,4.72,0.06,0.17,0.71,1.11,1.68,3.38,0.86,0.47,0.75,0.59,9.09
Marquese Chriss,1627737,2018-19,6.89,19.13,2.5,5.66,0.69,2.03,1.23,1.74,0.86,3.14,1.57,0.63,1.06,0.71,9.08
Marcus Morris,202694,2018-19,9.57,22.98,3.39,8.2,1.31,3.68,1.47,1.85,0.66,2.87,1.29,0.6,1.02,0.29,9.06
Kenneth Faried,202702,2018-19,6.71,19.25,2.72,5.7,0.0,0.01,1.26,1.82,1.87,3.25,0.72,0.5,1.08,0.6,9.03
Danny Green,201980,2018-19,7.83,24.95,2.85,6.88,1.38,3.63,0.8,0.97,0.65,2.67,1.45,0.88,0.91,0.57,8.94
