player_name,player_id,proj_season_id
Kyle O'Quinn,203124,2018-19
Kyrie Irving,202681,2018-19
LaMarcus Aldridge,200746,2018-19
Lance Stephenson,202362,2018-19
Lance Thomas,202498,2018-19
Langston Galloway,204038,2018-19
Larry Nance Jr.,1626204,2018-19
LeBron James,2544,2018-19
Lou Williams,101150,2018-19
Luc Mbah a Moute,201601,2018-19
Malachi Richardson,1627781,2018-19
Malcolm Brogdon,1627763,2018-19
Malik Beasley,1627736,2018-19
Marc Gasol,201188,2018-19
Marcin Gortat,101162,2018-19
Marco Belinelli,201158,2018-19
Marcus Morris,202694,2018-19
Marcus Smart,203935,2018-19
Mario Hezonja,1626209,2018-19
Markieff Morris,202693,2018-19
Marquese Chriss,1627737,2018-19
Marvin Williams,101107,2018-19
Mason Plumlee,203486,2018-19
Matthew Dellavedova,203521,2018-19
Maurice Harkless,203090,2018-19
Meyers Leonard,203086,2018-19
Michael Beasley,201563,2018-19
Michael Carter-Williams,203487,2018-19
Michael Kidd-Gilchrist,203077,2018-19
Mike Conley,201144,2018-19
Mike Muscala,203488,2018-19
Mike Scott,203118,2018-19
Miles Plumlee,203101,2018-19
Montrezl Harrell,1626149,2018-19
Myles Turner,1626167,2018-19
Nemanja Bjelica,202357,2018-19
Nene,2403,2018-19
Nerlens Noel,203457,2018-19
Nick Young,201156,2018-19
Nicolas Batum,201587,2018-19
Nik Stauskas,203917,2018-19
Nikola Jokic,203999,2018-19
Nikola Mirotic,202703,2018-19
Nikola Vucevic,202696,2018-19
Noah Vonleh,203943,2018-19
Norman Powell,1626181,2018-19
Omri Casspi,201956,2018-19
Otto Porter Jr.,203490,2018-19
PJ Tucker,200782,2018-19
Pascal Siakam,1627783,2018-19
Pat Connaughton,1626192,2018-19
Patrick Beverley,201976,2018-19
Patrick McCaw,1627775,2018-19
Patrick Patterson,202335,2018-19
Patty Mills,201988,2018-19
Pau Gasol,2200,2018-19
Paul George,202331,2018-19
Paul Millsap,200794,2018-19
Quincy Acy,203112,2018-19
Quinn Cook,1626188,2018-19
Rajon Rondo,200765,2018-19
Raul Neto,203526,2018-19
Raymond Felton,101109,2018-19
Reggie Bullock,203493,2018-19
Reggie Jackson,202704,2018-19
Richaun Holmes,1626158,2018-19
Ricky Rubio,201937,2018-19
Robert Covington,203496,2018-19
Robin Lopez,201577,2018-19
Rodney Hood,203918,2018-19
Rodney McGruder,203585,2018-19
Ron Baker,1627758,2018-19
Rondae Hollis-Jefferson,1626178,2018-19
Rudy Gay,200752,2018-19
Rudy Gobert,203497,2018-19
Russell Westbrook,201566,2018-19
Ryan Anderson,201583,2018-19
Salah Mejri,1626257,2018-19
Sam Dekker,1626155,2018-19
Serge Ibaka,201586,2018-19
Shabazz Napier,203894,2018-19
Shaun Livingston,2733,2018-19
Shelvin Mack,202714,2018-19
Skal Labissiere,1627746,2018-19
Solomon Hill,203524,2018-19
Spencer Dinwiddie,203915,2018-19
Stanley Johnson,1626169,2018-19
Stephen Curry,201939,2018-19
Steven Adams,203500,2018-19
T.J. McConnell,204456,2018-19
TJ Warren,203933,2018-19
Taj Gibson,201959,2018-19
Taurean Prince,1627752,2018-19
Terrence Ross,203082,2018-19
Terry Rozier,1626179,2018-19
Thabo Sefolosha,200757,2018-19
Thaddeus Young,201152,2018-19
Thon Maker,1627748,2018-19
Tim Frazier,204025,2018-19
Tim Hardaway Jr.,203501,2018-19
Timothe Luwawu-Cabarrot,1627789,2018-19
Tobias Harris,202699,2018-19
Tomas Satoransky,203107,2018-19
Tony Parker,2225,2018-19
Tony Snell,203503,2018-19
Treveon Graham,1626203,2018-19
Trevor Ariza,2772,2018-19
Trey Burke,203504,2018-19
Trey Lyles,1626168,2018-19
Tristan Thompson,202684,2018-19
Troy Daniels,203584,2018-19
Troy Williams,1627786,2018-19
Tyler Johnson,204020,2018-19
Tyler Ulis,1627755,2018-19
Tyler Zeller,203092,2018-19
Tyreke Evans,201936,2018-19
Tyson Chandler,2199,2018-19
Tyus Jones,1626145,2018-19
Victor Oladipo,203506,2018-19
Vince Carter,1713,2018-19
Wayne Ellington,201961,2018-19
Wayne Selden,1627782,2018-19
Wesley Johnson,202325,2018-19
Wesley Matthews,202083,2018-19
Will Barton,203115,2018-19
Willie Cauley-Stein,1626161,2018-19
Willy Hernangomez,1626195,2018-19
Wilson Chandler,201163,2018-19
Yogi Ferrell,1627812,2018-19
Zach LaVine,203897,2018-19
Zaza Pachulia,2585,2018-19
