player_name,player_id,season_id,gp,age,min,fgm,fga,fg3m,ftm,fta,oreb,dreb,ast,tov,stl,blk,pts
Paul Pierce,1718,2000-01,82.0,23.0,3123.91,687.0,1513.0,147.0,550.0,738.0,94.0,428.0,253.0,262.0,138.0,69.0,2071.0
Paul Pierce,1718,2001-02,82.0,24.0,3298.86,707.0,1598.0,210.0,520.0,643.0,81.0,485.0,261.0,241.0,154.0,86.0,2144.0
Paul Pierce,1718,2002-03,79.0,25.0,3096.57,663.0,1592.0,118.0,604.0,753.0,106.0,472.0,349.0,288.0,139.0,62.0,2048.0
Paul Pierce,1718,2003-04,80.0,26.0,3099.79,602.0,1497.0,115.0,517.0,631.0,69.0,453.0,410.0,303.0,131.0,52.0,1836.0
Paul Pierce,1718,2004-05,82.0,27.0,2963.27,556.0,1223.0,108.0,549.0,668.0,78.0,461.0,348.0,230.0,133.0,39.0,1769.0
Paul Pierce,1718,2005-06,79.0,28.0,3084.1,689.0,1462.0,111.0,627.0,812.0,77.0,453.0,375.0,273.0,107.0,34.0,2116.0
Paul Pierce,1718,2006-07,47.0,29.0,1739.76,373.0,850.0,107.0,320.0,402.0,39.0,238.0,194.0,152.0,48.0,13.0,1173.0
Paul Pierce,1718,2007-08,80.0,30.0,2873.58,509.0,1098.0,143.0,409.0,485.0,53.0,358.0,363.0,221.0,101.0,36.0,1570.0
Paul Pierce,1718,2008-09,81.0,31.0,3035.4,540.0,1181.0,119.0,459.0,553.0,56.0,401.0,294.0,228.0,80.0,27.0,1658.0
Paul Pierce,1718,2009-10,71.0,32.0,2410.9,409.0,867.0,109.0,369.0,433.0,39.0,271.0,218.0,166.0,84.0,31.0,1296.0
Paul Pierce,1718,2010-11,80.0,33.0,2774.04,507.0,1021.0,111.0,386.0,449.0,34.0,396.0,260.0,171.0,80.0,51.0,1511.0
Paul Pierce,1718,2011-12,61.0,34.0,2074.63,394.0,890.0,100.0,293.0,344.0,37.0,280.0,274.0,173.0,70.0,26.0,1181.0
Paul Pierce,1718,2012-13,77.0,35.0,2575.1,476.0,1092.0,145.0,333.0,423.0,45.0,442.0,370.0,214.0,84.0,30.0,1430.0
Paul Pierce,1718,2013-14,75.0,36.0,2098.02,321.0,712.0,112.0,256.0,310.0,26.0,322.0,178.0,153.0,86.0,31.0,1010.0
Paul Pierce,1718,2014-15,73.0,37.0,1913.36,293.0,656.0,118.0,164.0,210.0,45.0,249.0,144.0,92.0,46.0,24.0,868.0
Paul Pierce,1718,2015-16,68.0,38.0,1230.51,144.0,397.0,75.0,54.0,66.0,12.0,174.0,71.0,58.0,33.0,17.0,417.0
Paul Pierce,1718,2016-17,25.0,39.0,277.098,28.0,70.0,15.0,10.0,13.0,1.0,47.0,10.0,16.0,4.0,5.0,81.0
Vince Carter,1713,1998-99,50.0,22.0,1760.95,345.0,766.0,19.0,204.0,268.0,94.0,189.0,149.0,110.0,55.0,77.0,913.0
Vince Carter,1713,1999-00,82.0,23.0,3127.98,788.0,1696.0,95.0,436.0,551.0,150.0,326.0,322.0,178.0,110.0,92.0,2107.0
Vince Carter,1713,2000-01,75.0,24.0,2980.02,762.0,1656.0,162.0,384.0,502.0,176.0,240.0,291.0,167.0,114.0,82.0,2070.0
Vince Carter,1713,2001-02,60.0,25.0,2385.65,559.0,1307.0,121.0,245.0,307.0,138.0,175.0,239.0,154.0,94.0,45.0,1484.0
Vince Carter,1713,2002-03,43.0,26.0,1470.35,355.0,760.0,45.0,129.0,160.0,59.0,129.0,143.0,74.0,48.0,41.0,884.0
Vince Carter,1713,2003-04,73.0,27.0,2786.19,608.0,1457.0,93.0,336.0,417.0,95.0,254.0,348.0,224.0,88.0,65.0,1645.0
Vince Carter,1713,2004-05,77.0,28.0,2838.21,696.0,1541.0,127.0,367.0,460.0,106.0,295.0,327.0,168.0,109.0,48.0,1886.0
Vince Carter,1713,2005-06,79.0,29.0,2905.82,653.0,1518.0,125.0,480.0,601.0,135.0,327.0,338.0,213.0,94.0,53.0,1911.0
Vince Carter,1713,2006-07,82.0,30.0,3126.94,726.0,1598.0,156.0,462.0,576.0,114.0,378.0,393.0,217.0,82.0,30.0,2070.0
Vince Carter,1713,2007-08,76.0,31.0,2959.19,587.0,1287.0,98.0,350.0,429.0,112.0,341.0,389.0,181.0,93.0,33.0,1622.0
Vince Carter,1713,2008-09,80.0,32.0,2946.03,588.0,1345.0,151.0,335.0,410.0,74.0,336.0,376.0,166.0,82.0,38.0,1662.0
Vince Carter,1713,2009-10,75.0,33.0,2310.43,434.0,1015.0,119.0,257.0,306.0,33.0,260.0,236.0,106.0,53.0,18.0,1244.0
Vince Carter,1713,2010-11,73.0,34.0,2051.65,389.0,891.0,116.0,128.0,173.0,54.0,221.0,146.0,90.0,67.0,20.0,1022.0
Vince Carter,1713,2011-12,61.0,35.0,1542.02,223.0,542.0,74.0,95.0,115.0,32.0,173.0,139.0,84.0,56.0,25.0,615.0
Vince Carter,1713,2012-13,81.0,36.0,2092.87,372.0,855.0,162.0,182.0,223.0,58.0,276.0,194.0,106.0,74.0,43.0,1088.0
Vince Carter,1713,2013-14,81.0,37.0,1972.96,330.0,811.0,146.0,161.0,196.0,67.0,217.0,212.0,108.0,61.0,35.0,967.0
Vince Carter,1713,2014-15,66.0,38.0,1091.24,135.0,406.0,69.0,45.0,57.0,27.0,106.0,79.0,43.0,43.0,14.0,384.0
Vince Carter,1713,2015-16,60.0,39.0,1005.39,133.0,343.0,59.0,70.0,84.0,31.0,115.0,56.0,35.0,38.0,16.0,395.0
Vince Carter,1713,2016-17,73.0,40.0,1799.48,193.0,490.0,112.0,88.0,115.0,36.0,191.0,133.0,50.0,60.0,36.0,586.0
Jason Terry,1891,1999-00,81.0,22.0,1886.14,249.0,600.0,46.0,113.0,140.0,24.0,142.0,346.0,156.0,90.0,10.0,657.0
Jason Terry,1891,2000-01,82.0,23.0,3090.56,596.0,1367.0,124.0,303.0,358.0,42.0,227.0,403.0,239.0,104.0,12.0,1619.0
Jason Terry,1891,2001-02,78.0,24.0,2966.64,524.0,1219.0,172.0,284.0,340.0,40.0,230.0,444.0,181.0,144.0,13.0,1504.0
Jason Terry,1891,2002-03,81.0,25.0,3083.85,488.0,1141.0,160.0,259.0,292.0,37.0,242.0,600.0,249.0,126.0,14.0,1395.0
Jason Terry,1891,2003-04,81.0,26.0,3013.25,499.0,1196.0,146.0,215.0,260.0,49.0,287.0,437.0,229.0,124.0,16.0,1359.0
Jason Terry,1891,2004-05,80.0,27.0,2397.9,372.0,743.0,103.0,146.0,173.0,38.0,150.0,429.0,147.0,109.0,15.0,993.0
Jason Terry,1891,2005-06,80.0,28.0,2797.97,516.0,1099.0,171.0,168.0,210.0,31.0,127.0,306.0,135.0,100.0,27.0,1371.0
Jason Terry,1891,2006-07,81.0,29.0,2846.12,514.0,1063.0,162.0,160.0,199.0,41.0,190.0,422.0,152.0,81.0,17.0,1350.0
Jason Terry,1891,2007-08,82.0,30.0,2578.65,471.0,1008.0,136.0,191.0,223.0,30.0,178.0,264.0,92.0,88.0,18.0,1269.0
Jason Terry,1891,2008-09,74.0,31.0,2490.91,541.0,1168.0,167.0,198.0,225.0,39.0,138.0,251.0,119.0,97.0,20.0,1447.0
Jason Terry,1891,2009-10,77.0,32.0,2539.49,456.0,1041.0,136.0,232.0,268.0,19.0,121.0,292.0,109.0,94.0,17.0,1280.0
Jason Terry,1891,2010-11,82.0,33.0,2564.36,492.0,1091.0,127.0,182.0,214.0,24.0,129.0,334.0,167.0,93.0,13.0,1293.0
Jason Terry,1891,2011-12,63.0,34.0,1999.94,357.0,830.0,138.0,98.0,111.0,16.0,133.0,226.0,127.0,73.0,11.0,950.0
Jason Terry,1891,2012-13,79.0,35.0,2123.11,281.0,648.0,123.0,114.0,131.0,19.0,140.0,198.0,102.0,66.0,11.0,799.0
Jason Terry,1891,2013-14,35.0,36.0,570.315,55.0,152.0,39.0,10.0,15.0,4.0,33.0,56.0,27.0,13.0,0.0,159.0
Jason Terry,1891,2014-15,77.0,37.0,1641.18,188.0,446.0,126.0,39.0,48.0,15.0,106.0,147.0,74.0,66.0,19.0,541.0
Jason Terry,1891,2015-16,72.0,38.0,1257.65,151.0,376.0,93.0,27.0,33.0,14.0,65.0,103.0,49.0,47.0,9.0,422.0
Jason Terry,1891,2016-17,74.0,39.0,1364.9,105.0,243.0,73.0,24.0,29.0,15.0,91.0,98.0,36.0,46.0,20.0,307.0
Metta World Peace,1897,1999-00,72.0,20.0,2239.61,309.0,759.0,60.0,188.0,279.0,62.0,246.0,197.0,166.0,119.0,39.0,866.0
Metta World Peace,1897,2000-01,76.0,21.0,2363.15,327.0,815.0,43.0,210.0,280.0,59.0,235.0,228.0,159.0,152.0,45.0,907.0
Metta World Peace,1897,2001-02,55.0,22.0,1641.43,269.0,636.0,53.0,136.0,204.0,73.0,198.0,127.0,118.0,141.0,39.0,727.0
Metta World Peace,1897,2002-03,69.0,23.0,2317.44,362.0,846.0,71.0,273.0,371.0,101.0,261.0,198.0,145.0,159.0,50.0,1068.0
Metta World Peace,1897,2003-04,73.0,24.0,2715.45,468.0,1112.0,75.0,322.0,439.0,100.0,285.0,272.0,202.0,152.0,50.0,1333.0
Metta World Peace,1897,2004-05,7.0,25.0,290.095,59.0,119.0,7.0,47.0,51.0,8.0,37.0,22.0,17.0,12.0,6.0,172.0
Metta World Peace,1897,2005-06,56.0,26.0,2206.96,350.0,867.0,78.0,206.0,305.0,75.0,211.0,203.0,131.0,122.0,41.0,984.0
Metta World Peace,1897,2006-07,70.0,27.0,2640.93,458.0,1040.0,93.0,307.0,415.0,102.0,352.0,235.0,146.0,149.0,43.0,1316.0
Metta World Peace,1897,2007-08,57.0,28.0,2172.06,436.0,962.0,84.0,212.0,295.0,101.0,227.0,199.0,148.0,133.0,38.0,1168.0
Metta World Peace,1897,2008-09,69.0,29.0,2451.75,416.0,1037.0,153.0,196.0,262.0,65.0,294.0,229.0,140.0,105.0,24.0,1181.0
Metta World Peace,1897,2009-10,77.0,30.0,2604.86,306.0,740.0,105.0,128.0,186.0,99.0,232.0,234.0,121.0,106.0,21.0,845.0
Metta World Peace,1897,2010-11,82.0,31.0,2409.44,261.0,658.0,83.0,92.0,136.0,100.0,167.0,175.0,90.0,124.0,36.0,697.0
Metta World Peace,1897,2011-12,64.0,32.0,1720.08,183.0,465.0,56.0,71.0,115.0,71.0,147.0,140.0,69.0,69.0,27.0,493.0
Metta World Peace,1897,2012-13,75.0,33.0,2529.77,332.0,824.0,141.0,124.0,169.0,101.0,271.0,112.0,98.0,122.0,42.0,929.0
Metta World Peace,1897,2013-14,29.0,34.0,388.13699999999994,56.0,141.0,17.0,10.0,16.0,18.0,41.0,17.0,19.0,24.0,8.0,139.0
Metta World Peace,1897,2015-16,35.0,36.0,589.877,55.0,177.0,26.0,40.0,57.0,19.0,70.0,27.0,15.0,22.0,11.0,176.0
Metta World Peace,1897,2016-17,25.0,37.0,160.313,19.0,68.0,9.0,10.0,16.0,5.0,15.0,11.0,7.0,10.0,2.0,57.0
Jamal Crawford,2037,2000-01,61.0,21.0,1046.62,107.0,304.0,41.0,27.0,34.0,9.0,80.0,141.0,85.0,43.0,14.0,282.0
Jamal Crawford,2037,2001-02,23.0,22.0,481.705,89.0,187.0,26.0,10.0,13.0,5.0,29.0,55.0,32.0,18.0,5.0,214.0
Jamal Crawford,2037,2002-03,80.0,23.0,1987.92,334.0,808.0,86.0,104.0,129.0,21.0,164.0,334.0,134.0,77.0,25.0,858.0
Jamal Crawford,2037,2003-04,80.0,24.0,2813.38,509.0,1318.0,165.0,200.0,240.0,46.0,237.0,405.0,193.0,111.0,29.0,1383.0
Jamal Crawford,2037,2004-05,70.0,25.0,2684.64,437.0,1097.0,185.0,182.0,216.0,33.0,170.0,302.0,148.0,92.0,19.0,1241.0
Jamal Crawford,2037,2005-06,79.0,26.0,2555.2,366.0,879.0,101.0,295.0,357.0,36.0,212.0,301.0,175.0,87.0,15.0,1128.0
Jamal Crawford,2037,2006-07,59.0,27.0,2197.55,354.0,886.0,103.0,228.0,272.0,44.0,145.0,259.0,162.0,57.0,8.0,1039.0
Jamal Crawford,2037,2007-08,80.0,28.0,3189.22,570.0,1391.0,176.0,329.0,381.0,37.0,170.0,398.0,192.0,81.0,17.0,1645.0
Jamal Crawford,2037,2008-09,65.0,29.0,2478.3,419.0,1022.0,142.0,300.0,344.0,23.0,170.0,288.0,148.0,57.0,13.0,1280.0
Jamal Crawford,2037,2009-10,79.0,30.0,2459.83,496.0,1105.0,163.0,270.0,315.0,34.0,167.0,238.0,137.0,61.0,12.0,1425.0
Jamal Crawford,2037,2010-11,76.0,31.0,2296.99,368.0,874.0,119.0,222.0,260.0,22.0,108.0,241.0,145.0,57.0,14.0,1077.0
Jamal Crawford,2037,2011-12,60.0,32.0,1612.9,283.0,737.0,80.0,191.0,206.0,16.0,102.0,191.0,111.0,55.0,14.0,837.0
Jamal Crawford,2037,2012-13,76.0,33.0,2230.3,445.0,1016.0,149.0,216.0,248.0,22.0,106.0,193.0,146.0,79.0,13.0,1255.0
Jamal Crawford,2037,2013-14,69.0,34.0,2094.25,421.0,1011.0,161.0,279.0,322.0,34.0,124.0,223.0,135.0,59.0,12.0,1282.0
Jamal Crawford,2037,2014-15,64.0,35.0,1703.21,332.0,839.0,119.0,227.0,252.0,18.0,106.0,158.0,92.0,59.0,14.0,1010.0
Jamal Crawford,2037,2015-16,79.0,36.0,2126.17,379.0,939.0,117.0,245.0,271.0,20.0,125.0,183.0,113.0,52.0,12.0,1120.0
Jamal Crawford,2037,2016-17,82.0,37.0,2157.16,359.0,870.0,116.0,174.0,203.0,17.0,112.0,214.0,134.0,61.0,14.0,1008.0
Mike Miller,2034,2000-01,82.0,21.0,2388.94,368.0,845.0,148.0,91.0,128.0,66.0,261.0,140.0,97.0,51.0,19.0,975.0
Mike Miller,2034,2001-02,63.0,22.0,2127.89,351.0,802.0,116.0,138.0,181.0,49.0,224.0,198.0,108.0,47.0,23.0,956.0
Mike Miller,2034,2002-03,65.0,23.0,2185.24,373.0,859.0,109.0,156.0,186.0,46.0,295.0,170.0,125.0,42.0,21.0,1011.0
Mike Miller,2034,2003-04,65.0,24.0,1764.55,270.0,616.0,80.0,102.0,141.0,42.0,174.0,232.0,107.0,59.0,14.0,722.0
Mike Miller,2034,2004-05,76.0,25.0,2281.03,387.0,766.0,140.0,108.0,150.0,36.0,264.0,220.0,127.0,54.0,23.0,1022.0
Mike Miller,2034,2005-06,74.0,26.0,2267.58,354.0,760.0,138.0,168.0,210.0,42.0,355.0,200.0,140.0,52.0,27.0,1014.0
Mike Miller,2034,2006-07,70.0,27.0,2739.5,465.0,1010.0,202.0,161.0,203.0,52.0,326.0,298.0,179.0,54.0,18.0,1293.0
Mike Miller,2034,2007-08,70.0,28.0,2474.15,414.0,824.0,155.0,164.0,212.0,51.0,416.0,240.0,182.0,35.0,16.0,1147.0
Mike Miller,2034,2008-09,73.0,29.0,2356.44,264.0,548.0,85.0,109.0,149.0,73.0,410.0,326.0,145.0,30.0,31.0,722.0
Mike Miller,2034,2009-10,54.0,30.0,1805.16,217.0,433.0,82.0,70.0,85.0,55.0,281.0,212.0,115.0,39.0,12.0,586.0
Mike Miller,2034,2010-11,41.0,31.0,837.828,81.0,202.0,43.0,23.0,34.0,38.0,146.0,51.0,41.0,20.0,2.0,228.0
Mike Miller,2034,2011-12,39.0,32.0,752.05,91.0,209.0,53.0,2.0,5.0,22.0,106.0,42.0,30.0,14.0,6.0,237.0
Mike Miller,2034,2012-13,59.0,33.0,899.377,100.0,231.0,73.0,8.0,11.0,18.0,139.0,99.0,35.0,21.0,4.0,281.0
Mike Miller,2034,2013-14,82.0,34.0,1706.48,213.0,443.0,107.0,46.0,56.0,30.0,177.0,130.0,77.0,26.0,5.0,579.0
Mike Miller,2034,2014-15,52.0,35.0,701.18,37.0,114.0,32.0,3.0,4.0,4.0,87.0,46.0,23.0,14.0,4.0,109.0
Mike Miller,2034,2015-16,47.0,36.0,372.96,22.0,62.0,19.0,0.0,0.0,6.0,47.0,40.0,17.0,13.0,4.0,63.0
Mike Miller,2034,2016-17,20.0,37.0,150.543,9.0,23.0,8.0,2.0,2.0,2.0,36.0,22.0,13.0,2.0,0.0,28.0
Chris Andersen,2365,2001-02,24.0,23.0,260.658,25.0,74.0,0.0,22.0,28.0,38.0,38.0,7.0,13.0,7.0,28.0,72.0
Chris Andersen,2365,2002-03,59.0,24.0,902.555,114.0,285.0,0.0,77.0,140.0,109.0,165.0,32.0,60.0,30.0,60.0,305.0
Chris Andersen,2365,2003-04,71.0,25.0,1028.52,90.0,203.0,0.0,63.0,107.0,89.0,209.0,35.0,48.0,34.0,114.0,243.0
Chris Andersen,2365,2004-05,67.0,26.0,1423.86,191.0,358.0,0.0,131.0,190.0,137.0,273.0,71.0,64.0,14.0,100.0,513.0
Chris Andersen,2365,2005-06,32.0,27.0,569.807,56.0,98.0,0.0,49.0,103.0,61.0,94.0,6.0,26.0,8.0,41.0,161.0
Chris Andersen,2365,2007-08,5.0,29.0,34.1533,2.0,7.0,0.0,2.0,4.0,2.0,7.0,0.0,1.0,0.0,4.0,6.0
Chris Andersen,2365,2008-09,71.0,30.0,1459.88,160.0,292.0,2.0,130.0,181.0,163.0,279.0,31.0,69.0,41.0,175.0,452.0
Chris Andersen,2365,2009-10,76.0,31.0,1694.46,142.0,251.0,0.0,164.0,236.0,147.0,336.0,33.0,59.0,42.0,143.0,448.0
Chris Andersen,2365,2010-11,45.0,32.0,732.32,82.0,137.0,0.0,86.0,135.0,75.0,144.0,20.0,25.0,23.0,58.0,250.0
Chris Andersen,2365,2011-12,32.0,33.0,486.288,59.0,108.0,0.0,50.0,82.0,48.0,100.0,6.0,17.0,19.0,46.0,168.0
Chris Andersen,2365,2012-13,42.0,34.0,624.47,71.0,123.0,2.0,63.0,93.0,57.0,115.0,17.0,24.0,16.0,44.0,207.0
Chris Andersen,2365,2013-14,72.0,35.0,1396.0,177.0,275.0,3.0,120.0,169.0,129.0,250.0,19.0,53.0,32.0,97.0,477.0
Chris Andersen,2365,2014-15,60.0,36.0,1131.69,120.0,207.0,4.0,76.0,114.0,76.0,223.0,43.0,40.0,26.0,61.0,320.0
Chris Andersen,2365,2015-16,27.0,37.0,402.532,38.0,72.0,4.0,25.0,36.0,36.0,62.0,12.0,9.0,15.0,13.0,105.0
Chris Andersen,2365,2016-17,12.0,38.0,113.79299999999999,9.0,22.0,0.0,10.0,14.0,9.0,22.0,5.0,5.0,5.0,7.0,28.0
Joe Johnson,2207,2001-02,77.0,21.0,1916.69,251.0,584.0,38.0,41.0,53.0,75.0,182.0,179.0,71.0,59.0,20.0,581.0
Joe Johnson,2207,2002-03,82.0,22.0,2253.32,316.0,796.0,75.0,96.0,124.0,57.0,207.0,210.0,108.0,62.0,19.0,803.0
Joe Johnson,2207,2003-04,82.0,23.0,3333.87,555.0,1291.0,83.0,174.0,232.0,80.0,305.0,362.0,199.0,93.0,26.0,1367.0
Joe Johnson,2207,2004-05,82.0,24.0,3237.88,544.0,1179.0,177.0,135.0,180.0,120.0,302.0,291.0,148.0,79.0,24.0,1400.0
Joe Johnson,2207,2005-06,82.0,25.0,3339.66,632.0,1395.0,128.0,261.0,330.0,98.0,237.0,536.0,267.0,103.0,31.0,1653.0
Joe Johnson,2207,2006-07,57.0,26.0,2358.99,536.0,1139.0,119.0,235.0,314.0,53.0,186.0,249.0,176.0,60.0,11.0,1426.0
Joe Johnson,2207,2007-08,82.0,27.0,3342.79,647.0,1497.0,169.0,316.0,379.0,83.0,284.0,474.0,223.0,84.0,18.0,1779.0
Joe Johnson,2207,2008-09,79.0,28.0,3124.38,620.0,1420.0,149.0,299.0,362.0,65.0,281.0,455.0,195.0,84.0,19.0,1688.0
Joe Johnson,2207,2009-10,76.0,29.0,2885.64,635.0,1386.0,129.0,220.0,269.0,74.0,279.0,369.0,145.0,82.0,5.0,1619.0
Joe Johnson,2207,2010-11,72.0,30.0,2554.43,514.0,1161.0,89.0,195.0,243.0,59.0,232.0,338.0,146.0,47.0,7.0,1312.0
Joe Johnson,2207,2011-12,60.0,31.0,2126.54,423.0,931.0,125.0,158.0,186.0,53.0,168.0,232.0,116.0,48.0,13.0,1129.0
Joe Johnson,2207,2012-13,72.0,32.0,2642.06,445.0,1052.0,148.0,132.0,161.0,53.0,165.0,253.0,123.0,49.0,14.0,1170.0
Joe Johnson,2207,2013-14,79.0,33.0,2574.81,462.0,1018.0,162.0,159.0,195.0,48.0,222.0,216.0,120.0,47.0,10.0,1245.0
Joe Johnson,2207,2014-15,80.0,34.0,2790.87,446.0,1025.0,121.0,141.0,176.0,53.0,331.0,292.0,137.0,59.0,14.0,1154.0
Joe Johnson,2207,2015-16,81.0,35.0,2703.23,377.0,859.0,120.0,118.0,142.0,49.0,243.0,318.0,159.0,61.0,4.0,992.0
Joe Johnson,2207,2016-17,78.0,35.0,1842.92,273.0,626.0,106.0,63.0,77.0,33.0,210.0,144.0,69.0,36.0,18.0,715.0
Pau Gasol,2200,2001-02,82.0,21.0,3001.87,551.0,1064.0,1.0,338.0,477.0,238.0,492.0,223.0,224.0,41.0,169.0,1441.0
Pau Gasol,2200,2002-03,82.0,22.0,2945.98,569.0,1116.0,1.0,416.0,565.0,192.0,528.0,229.0,213.0,34.0,148.0,1555.0
Pau Gasol,2200,2003-04,78.0,23.0,2451.61,506.0,1049.0,4.0,365.0,511.0,206.0,394.0,198.0,187.0,44.0,132.0,1381.0
Pau Gasol,2200,2004-05,56.0,24.0,1783.26,357.0,695.0,1.0,282.0,367.0,130.0,280.0,135.0,137.0,37.0,93.0,997.0
Pau Gasol,2200,2005-06,80.0,25.0,3135.11,600.0,1194.0,3.0,425.0,617.0,191.0,522.0,371.0,235.0,46.0,153.0,1628.0
Pau Gasol,2200,2006-07,59.0,26.0,2132.51,462.0,858.0,3.0,299.0,400.0,149.0,432.0,201.0,162.0,29.0,126.0,1226.0
Pau Gasol,2200,2007-08,66.0,27.0,2350.78,475.0,890.0,4.0,292.0,362.0,155.0,398.0,211.0,124.0,30.0,98.0,1246.0
Pau Gasol,2200,2008-09,81.0,28.0,2999.33,592.0,1045.0,1.0,343.0,439.0,262.0,518.0,284.0,157.0,52.0,81.0,1528.0
Pau Gasol,2200,2009-10,65.0,29.0,2402.82,452.0,844.0,0.0,286.0,362.0,243.0,491.0,218.0,143.0,37.0,113.0,1190.0
Pau Gasol,2200,2010-11,82.0,30.0,3037.0,593.0,1120.0,1.0,354.0,430.0,268.0,568.0,273.0,142.0,48.0,130.0,1541.0
Pau Gasol,2200,2011-12,65.0,31.0,2429.96,459.0,917.0,7.0,204.0,261.0,183.0,495.0,237.0,142.0,37.0,88.0,1129.0
Pau Gasol,2200,2012-13,49.0,32.0,1654.96,270.0,579.0,8.0,125.0,178.0,111.0,310.0,200.0,104.0,24.0,61.0,673.0
Pau Gasol,2200,2013-14,60.0,33.0,1884.31,425.0,885.0,4.0,187.0,254.0,124.0,456.0,201.0,141.0,27.0,92.0,1041.0
Pau Gasol,2200,2014-15,78.0,34.0,2680.71,570.0,1153.0,12.0,294.0,366.0,220.0,699.0,210.0,158.0,25.0,147.0,1446.0
Pau Gasol,2200,2015-16,72.0,35.0,2291.48,467.0,995.0,24.0,229.0,289.0,155.0,638.0,294.0,164.0,42.0,146.0,1187.0
Pau Gasol,2200,2016-17,64.0,36.0,1626.7,303.0,604.0,56.0,130.0,184.0,107.0,394.0,150.0,81.0,24.0,70.0,792.0
Richard Jefferson,2210,2001-02,79.0,22.0,1919.42,270.0,591.0,13.0,189.0,265.0,85.0,208.0,140.0,107.0,64.0,48.0,742.0
Richard Jefferson,2210,2002-03,80.0,23.0,2874.04,456.0,911.0,6.0,324.0,436.0,150.0,364.0,201.0,156.0,80.0,44.0,1242.0
Richard Jefferson,2210,2003-04,82.0,24.0,3136.17,555.0,1115.0,48.0,357.0,468.0,109.0,355.0,315.0,198.0,92.0,28.0,1515.0
Richard Jefferson,2210,2004-05,33.0,25.0,1363.9,238.0,564.0,30.0,227.0,269.0,49.0,191.0,133.0,132.0,33.0,17.0,733.0
